             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.95  1.95  1.96  1.95  1.95  1.95  1.95  1.95  1.95  1.96      |
 | 2  |        0.98        0.98                    0.98                  |
 | 3  |              0.65                                                |
 | 4  |                    0.49                    0.50                  |
 | 5  |                          0.41                                    |
 | 6  |                                0.35                          0.34|
 | 7  |                                      0.32                        |
 | 8  |                                            0.30                  |
 | 9  |                                                  0.29            |
 | 10 |                                                        0.31      |
 | 12 |                                                              0.29|
 +-----------------------------------------------------------------------+
