             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.88  3.86  3.85  3.84  3.84  3.84  3.82  3.81  3.82  3.85      |
 | 2  |        1.94        1.93                    1.92                  |
 | 3  |              1.29                                                |
 | 4  |                    0.95                    0.96                  |
 | 5  |                          0.78                                    |
 | 6  |                                0.65                          0.64|
 | 7  |                                      0.60                        |
 | 8  |                                            0.58                  |
 | 9  |                                                  0.56            |
 | 10 |                                                        0.55      |
 | 12 |                                                              0.56|
 +-----------------------------------------------------------------------+
