             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.95  2.02  2.06  2.00  1.95  1.95  1.96  1.95  2.05  2.06      |
 | 2  |        0.98        0.98                    0.99                  |
 | 3  |              0.65                                                |
 | 4  |                    0.49                    0.49                  |
 | 5  |                          0.42                                    |
 | 6  |                                0.34                          0.34|
 | 7  |                                      0.32                        |
 | 8  |                                            0.30                  |
 | 9  |                                                  0.30            |
 | 10 |                                                        0.30      |
 | 12 |                                                              0.28|
 +-----------------------------------------------------------------------+
