             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.95  1.95  1.95  1.95  1.95  1.95  1.95  1.95  1.95  1.95      |
 | 2  |        0.98        0.98                    0.98                  |
 | 3  |              0.65                                                |
 | 4  |                    0.48                    0.48                  |
 | 5  |                          0.40                                    |
 | 6  |                                0.33                          0.32|
 | 7  |                                      0.30                        |
 | 8  |                                            0.29                  |
 | 9  |                                                  0.29            |
 | 10 |                                                        0.29      |
 | 12 |                                                              0.29|
 +-----------------------------------------------------------------------+
