             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  2.99  2.99  3.00  3.00  2.99  3.00  2.99  3.00  2.98  2.99      |
 | 2  |        1.49        1.50                    1.51                  |
 | 3  |              0.99                                                |
 | 4  |                    1.02                    1.00                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.01                          0.98|
 | 7  |                                      0.99                        |
 | 8  |                                            1.01                  |
 | 9  |                                                  0.98            |
 | 10 |                                                        0.99      |
 | 12 |                                                              0.99|
 +-----------------------------------------------------------------------+
