             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.23  0.95  0.96  0.97  0.97  0.97  0.96  0.96  0.97  0.97      |
 | 2  |        0.77        0.54                    0.52                  |
 | 3  |              0.66                                                |
 | 4  |                    0.53                    0.51                  |
 | 5  |                          0.65                                    |
 | 6  |                                0.52                          0.49|
 | 7  |                                      0.53                        |
 | 8  |                                            0.52                  |
 | 9  |                                                  0.52            |
 | 10 |                                                        0.49      |
 | 12 |                                                              0.49|
 +-----------------------------------------------------------------------+
