             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.45  1.44  1.45  1.46  1.46  1.46  1.46  1.46  1.46  1.46      |
 | 2  |        0.73        0.74                    0.74                  |
 | 3  |              0.49                                                |
 | 4  |                    0.49                    0.49                  |
 | 5  |                          0.50                                    |
 | 6  |                                0.49                          0.48|
 | 7  |                                      0.49                        |
 | 8  |                                            0.49                  |
 | 9  |                                                  0.48            |
 | 10 |                                                        0.48      |
 | 12 |                                                              0.48|
 +-----------------------------------------------------------------------+
