             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  0.79  0.49  0.51  0.52  0.52  0.52  0.52  0.52  0.49  0.52      |
 | 2  |        0.39        0.28                    0.32                  |
 | 3  |              0.35                                                |
 | 4  |                    0.29                    0.28                  |
 | 5  |                          0.34                                    |
 | 6  |                                0.28                          0.26|
 | 7  |                                      0.28                        |
 | 8  |                                            0.35                  |
 | 9  |                                                  0.28            |
 | 10 |                                                        0.25      |
 | 12 |                                                              0.25|
 +-----------------------------------------------------------------------+
